,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
327,20,2,9,7,4,3,4,24,3,0.907,0.719,0,11,2,1,9,12,418,5,2.437,0,12,1,6,2,8,0,7,27,0,0.712,0.281,0,3,0,1,9,9,163,1,0.15,0,1,1
328,8,2,13,6,8,1,10,22,1,0.679,0.254,0,4,2,0,13,5,140,1,0.965,0,40,3,30,21,3,0,2,49,1,0.854,0.746,0,8,4,0,12,20,412,2,0.57,0,2,1
329,16,5,15,10,5,2,5,23,1,0.899,0.748,0,14,3,0,5,4,388,6,1.448,1,15,3,6,5,6,1,3,32,0,0.649,0.252,0,4,1,0,9,5,131,1,0.195,2,1,1
330,12,0,3,3,17,1,2,31,0,0.739,0.349,0,8,2,1,15,18,180,2,0.667,1,14,0,14,5,4,2,2,25,2,0.899,0.651,0,4,0,0,6,11,336,3,0.501,1,2,2
331,11,1,5,4,8,1,5,28,2,0.632,0.296,0,2,0,0,6,8,152,1,0.087,0,21,3,7,4,7,1,2,32,3,0.859,0.704,0,7,3,0,5,7,362,2,0.451,1,0,0
332,18,2,17,9,3,3,2,27,1,0.888,0.741,0,9,0,0,1,13,421,5,2.087,0,18,2,4,4,8,0,7,34,1,0.694,0.259,0,2,0,0,10,6,147,1,0.069,0,1,1
333,29,7,22,13,6,0,3,50,2,0.793,0.603,0,9,3,1,9,12,314,4,1.162,1,12,3,11,7,13,0,3,44,0,0.686,0.397,0,5,1,1,14,9,207,2,0.523,1,1,0
334,16,2,9,4,11,0,0,33,0,0.704,0.319,0,4,0,0,7,8,135,1,0.195,2,16,7,18,14,8,0,2,27,2,0.84,0.681,0,12,3,0,11,11,288,4,0.793,0,0,0
335,34,3,11,9,5,2,2,41,4,0.918,0.718,0,8,2,0,10,4,428,4,2.46,2,16,1,9,3,2,0,5,27,1,0.78,0.282,0,2,0,0,10,9,168,2,0.064,0,1,1
336,16,0,7,4,13,1,3,31,1,0.845,0.603,0,6,3,0,11,8,316,2,0.335,2,14,0,8,5,6,0,7,31,1,0.774,0.397,0,3,0,0,5,12,208,1,0.404,2,1,1
337,21,5,17,13,4,2,3,40,3,0.842,0.613,0,10,2,2,6,8,342,3,1.058,0,7,3,7,5,8,0,7,23,1,0.75,0.387,0,3,1,0,7,7,216,2,0.312,0,1,1
338,27,4,12,8,5,6,0,33,2,0.908,0.791,0,12,1,0,9,9,404,8,3.514,0,10,1,3,1,12,0,5,29,1,0.579,0.209,0,0,0,0,15,4,107,0,0.0,0,1,1
