,1 Corners,1 Fouls Committed,1 Fouls Wons,1 Goals,1 Offsides,1 Pass Completion,1 Possesion,1 Red Cards,1 Shot Attempts,1 Shots Blocked,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Under Pressure,1 Yellow Cards,2 Corners,2 Fouls Committed,2 Fouls Wons,2 Goals,2 Offsides,2 Pass Completion,2 Possesion,2 Red Cards,2 Shot Attempts,2 Shots Blocked,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Under Pressure,2 Yellow Cards,winner,fh winner
464,1,0,4,3,0,0.834,0.704,0,10,0,319,4,2.320651014,0.138,0,3,1,3,1,2,0.642,0.296,0,5,1,134,1,0.765204686,0.157,1,1,1
465,6,1,5,1,0,0.895,0.748,0,11,2,362,4,1.024548099,0.077,0,3,3,4,0,0,0.73,0.252,0,4,3,122,0,0.619197567,0.164,1,1,1
466,2,1,5,1,2,0.878,0.735,0,8,1,410,2,1.066820292,0.156,0,0,3,3,0,3,0.642,0.265,0,0,0,148,0,0.0,0.345,2,1,1
467,1,3,2,0,0,0.699,0.322,0,7,3,143,4,0.29512345300000004,0.245,1,6,0,6,0,3,0.85,0.678,0,3,0,301,2,0.18173726499999998,0.163,1,2,0
468,3,1,8,0,1,0.732,0.424,0,5,2,198,0,0.730863773,0.096,2,2,7,5,1,0,0.814,0.576,0,4,2,269,0,0.308137781,0.13,2,2,2
469,4,1,5,0,2,0.808,0.574,0,6,2,308,2,0.482811355,0.182,0,3,5,4,0,0,0.742,0.426,0,6,1,229,3,0.253634659,0.17,0,1,0
470,3,2,4,0,3,0.661,0.336,0,8,1,174,3,0.505475056,0.144,0,5,3,5,2,2,0.84,0.664,0,5,0,344,1,0.44801154200000004,0.166,1,2,2
471,1,5,2,0,2,0.715,0.268,0,3,0,158,1,0.363734404,0.196,1,2,0,7,1,3,0.884,0.732,0,7,1,432,1,1.1598164020000001,0.234,0,2,2
472,2,2,3,2,1,0.77,0.366,0,7,0,196,3,0.656641204,0.24,0,5,2,2,1,1,0.868,0.634,0,10,4,340,5,0.680533526,0.182,1,1,1
473,2,5,2,1,0,0.639,0.247,0,2,0,122,1,0.149679185,0.254,0,5,1,3,1,0,0.876,0.753,0,12,3,372,3,1.342441558,0.062,0,2,0
474,4,1,1,0,4,0.744,0.416,0,7,1,215,1,0.705920255,0.172,0,1,1,2,0,3,0.815,0.584,0,4,2,302,1,0.297988549,0.275,0,0,0
475,0,1,3,0,3,0.677,0.271,0,2,0,127,0,0.05626408,0.134,1,0,3,1,1,1,0.868,0.729,0,3,1,342,1,0.729408571,0.091,0,2,2
476,1,2,4,2,4,0.853,0.735,0,5,1,327,1,1.338156074,0.098,0,3,3,4,1,2,0.653,0.265,0,4,2,118,0,0.20036884,0.051,2,1,1
477,2,1,5,0,3,0.826,0.615,0,3,1,328,1,0.08357598799999999,0.168,0,1,3,2,0,3,0.717,0.385,0,7,2,205,2,0.6350373279999999,0.093,2,1,0
478,3,0,1,1,3,0.871,0.591,1,9,4,318,3,0.8253314600000001,0.119,1,2,0,2,0,1,0.818,0.409,0,6,0,220,3,0.5959246420000001,0.114,1,1,1
479,2,2,1,3,1,0.88,0.671,0,10,0,342,3,0.786143822,0.146,2,0,1,3,0,2,0.732,0.329,0,3,1,168,0,0.8360810300000001,0.119,1,1,1
480,2,0,2,0,0,0.64,0.296,0,7,0,136,3,0.4996686,0.081,2,0,2,3,0,4,0.83,0.704,0,1,0,323,1,0.021652788,0.124,2,0,0
481,7,1,8,0,1,0.871,0.769,0,14,5,396,3,1.3614983079999998,0.182,0,1,8,2,0,0,0.555,0.231,0,1,0,119,1,0.041084614,0.277,1,1,0
482,0,3,3,0,4,0.565,0.255,0,4,1,115,3,0.12203613599999999,0.148,0,5,3,6,0,2,0.833,0.745,0,6,1,336,1,0.7739272199999999,0.098,0,2,0
483,3,2,1,0,2,0.64,0.386,0,5,0,189,0,0.40862945,0.222,0,3,0,5,0,1,0.847,0.614,0,5,0,301,2,1.368067506,0.136,0,0,0
484,1,3,1,0,1,0.624,0.267,0,1,0,141,0,0.063702226,0.135,1,3,0,5,3,2,0.887,0.733,0,12,3,388,1,0.980684291,0.108,1,2,2
485,3,2,6,4,3,0.857,0.592,0,6,0,273,2,1.378134223,0.062,0,6,4,5,1,1,0.729,0.408,0,9,3,188,1,1.058709855,0.154,2,1,1
486,1,7,7,0,2,0.743,0.391,0,6,2,183,0,0.2581821375,0.137,1,3,3,8,1,1,0.835,0.609,0,7,1,285,1,0.6371060030000001,0.123,1,2,2
487,5,0,3,2,0,0.843,0.695,0,10,3,382,1,2.18913873,0.071,0,0,3,0,0,1,0.69,0.305,0,4,0,168,2,0.75454767,0.113,0,1,1
488,10,2,1,1,0,0.889,0.727,0,12,3,423,6,1.774740826,0.175,0,2,0,1,0,2,0.679,0.273,0,1,0,159,1,0.019003645,0.327,2,1,1
489,4,1,4,0,1,0.856,0.666,0,10,4,333,4,0.637432097,0.129,1,2,4,2,0,1,0.647,0.334,0,3,0,167,2,0.484191147,0.251,3,1,0
490,3,1,5,5,2,0.847,0.594,0,11,1,275,2,2.809688907,0.116,0,0,1,2,1,0,0.771,0.406,0,5,4,188,0,0.142210466,0.069,1,1,1
491,1,1,4,1,0,0.432,0.461,0,4,1,148,1,0.43423805,0.128,2,0,0,4,2,1,0.543,0.539,0,4,1,173,0,0.21428338500000002,0.133,0,2,2
492,2,1,3,5,2,0.866,0.694,0,10,1,306,3,2.7982402619999998,0.157,0,5,2,1,0,1,0.689,0.306,1,1,0,135,0,0.037314396,0.052,1,1,1
493,2,2,4,2,2,0.855,0.678,0,9,4,297,1,1.4213958380000002,0.057,0,1,2,4,0,4,0.681,0.322,0,4,1,141,0,0.673100036,0.184,1,1,1
494,1,3,2,0,1,0.678,0.315,0,2,0,174,1,0.142105866,0.207,0,1,1,5,0,0,0.857,0.685,0,4,2,378,0,0.170516151,0.212,0,2,0
495,4,3,1,2,0,0.885,0.692,0,9,2,330,2,1.533145942,0.079,1,1,1,5,0,2,0.599,0.308,0,3,1,147,1,0.161294088,0.143,1,1,1
496,1,1,3,3,4,0.859,0.641,0,12,4,311,0,1.355634444,0.064,0,0,2,4,1,1,0.718,0.359,0,2,0,174,1,0.93489257,0.201,1,0,1
497,1,2,2,0,3,0.563,0.317,0,3,1,142,0,0.08741364700000001,0.12,1,2,1,4,1,2,0.794,0.683,0,7,1,306,3,0.795201727,0.088,0,2,2
498,8,1,3,1,1,0.819,0.642,0,8,4,276,1,1.288238335,0.13,0,4,0,3,0,2,0.669,0.358,0,2,1,154,1,0.85368304,0.136,0,1,1
499,0,3,1,0,1,0.741,0.26,0,2,0,139,0,0.038955144,0.137,1,3,1,5,1,0,0.894,0.74,0,11,2,395,6,1.963495328,0.139,1,2,2
