id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1791,Trent Alexander-Arnold,19,1686,2,1.5154880434274671,10,8.76672484818846,34,58,1,0,D,Liverpool,2,1.5154880434274671,14.645602747797966,7.836260318756103
1822,Antonio Rüdiger,22,1980,2,1.688492489978671,0,0.7046160791069269,27,11,5,0,D,Chelsea,2,1.688492489978671,11.837437560781837,11.118953071534634
2203,Emiliano Buendía,19,1258,2,1.6692818943411112,3,2.4442235231399536,25,26,1,0,F M S,Aston Villa,2,1.6692818943411112,5.642569737508893,3.198835387825966
2254,Mateo Kovacic,15,1032,2,1.3848788533359766,5,2.9208442959934477,16,16,3,0,M S,Chelsea,2,1.3848788533359766,9.01477213948965,6.980228327214718
2381,Rodrigo,14,1016,2,2.728224515914917,0,1.8152784928679464,26,20,5,0,F M S,Leeds,1,1.967055656015873,6.018733020871878,2.827580377459526
3288,Thiago Silva,19,1541,2,0.7682493887841702,0,0.1812903899699449,10,4,1,0,D S,Chelsea,2,0.7682493887841702,10.736887194681913,10.593155801761895
3293,Lucas Moura,18,1313,2,2.946602486073971,3,3.463083155453205,30,24,2,0,F M S,Tottenham,2,2.946602486073971,8.494139224290848,4.02034998126328
3294,Edinson Cavani,10,521,2,2.69224539026618,1,1.0626687463372946,14,3,0,0,F S,Manchester United,2,2.69224539026618,3.5397602021694183,0.4954893914982676
3420,Fabinho,15,1260,2,1.233404252678156,1,0.7518262900412083,10,13,4,0,M S,Liverpool,2,1.233404252678156,6.56173693202436,6.0732296127825975
3422,João Moutinho,21,1760,2,0.7418876057490706,1,2.0555152371525764,13,26,2,0,M S,Wolverhampton Wanderers,2,0.7418876057490706,6.0588030852377415,4.737370256334543
3491,Romain Saiss,19,1668,2,2.67127847392112,0,0.2105167862027883,13,3,3,0,D,Wolverhampton Wanderers,2,2.67127847392112,4.2109838258475065,4.059747921302915
4419,Adam Armstrong,18,1196,2,4.066641267389059,2,1.624623842537403,43,13,1,0,F S,Southampton,2,4.066641267389059,5.965230625122786,0.6754391770809889
5220,Kai Havertz,16,962,2,3.862804491072893,1,1.2137100249528885,27,4,0,0,F M S,Chelsea,2,3.862804491072893,7.945609346032143,3.2716057747602463
